lstm_loss,lstm_energy_history_adam_lstm,vqe_energy_history_0_adam_traditional,vqe_energy_history_random_adam_traditional,vqe_energy_history_pi_adam_traditional
-2.1264684200286865,-2.1264684200286865,-2.1264684200286865,-0.3027835190296173,-2.1264684200286865
-2.1264684200286865,-2.1264684200286865,-2.1264684200286865,-0.3027835190296173,-2.1264684200286865
-2.1264684200286865,-2.1460559368133545,-2.165968418121338,-0.5468558073043823,-2.1331684589385986
-2.1264684200286865,-2.1490652561187744,-2.158550977706909,-0.7735912203788757,-2.1159043312072754
-2.1264684200286865,-2.148343563079834,-2.1396090984344482,-0.9761210680007935,-2.13097882270813
-2.1264684200286865,-2.1472694873809814,-2.1705946922302246,-1.1420249938964844,-2.1285400390625
-2.1264684200286865,-2.1500728130340576,-2.1542139053344727,-1.2825204133987427,-2.1252357959747314
-2.1264684200286865,-2.1548898220062256,-2.149707078933716,-1.4104576110839844,-2.128848075866699
-2.1264684200286865,-2.156467914581299,-2.1647889614105225,-1.5339115858078003,-2.132554292678833
-2.1264684200286865,-2.1551382541656494,-2.172185182571411,-1.6500314474105835,-2.1325831413269043
-2.1264684200286865,-2.154378652572632,-2.1651859283447266,-1.7524341344833374,-2.13266921043396
,-2.154785633087158,-2.1611263751983643,-1.8370050191879272,-2.135469436645508
,-2.1551027297973633,-2.1669538021087646,-1.9039642810821533,-2.1392574310302734
,-2.155735731124878,-2.1739606857299805,-1.9575567245483398,-2.141824722290039
,-2.157355546951294,-2.1748244762420654,-2.0005009174346924,-2.143143653869629
,-2.1588780879974365,-2.1726009845733643,-2.0305280685424805,-2.144869804382324
,-2.1590073108673096,-2.1731069087982178,-2.0447418689727783,-2.1473891735076904
,-2.1583621501922607,-2.175511598587036,-2.044848918914795,-2.149412155151367
,-2.1581811904907227,-2.1758453845977783,-2.037105083465576,-2.1499156951904297
,-2.1584320068359375,-2.1737163066864014,-2.029050350189209,-2.149278402328491
,-2.158647060394287,-2.1728413105010986,-2.026962995529175,-2.1488020420074463
,-2.1588876247406006,-2.1751513481140137,-2.034205913543701,-2.1493334770202637
,-2.1592228412628174,-2.1780002117156982,-2.0503578186035156,-2.1505870819091797
,-2.159442663192749,-2.1784262657165527,-2.0718560218811035,-2.15168833732605
,-2.159543991088867,-2.177140951156616,-2.093904733657837,-2.1521310806274414
,-2.159717082977295,-2.1768763065338135,-2.112304449081421,-2.1522128582000732
,-2.1599080562591553,-2.1782073974609375,-2.1245157718658447,-2.1525044441223145
,-2.1599485874176025,-2.1791651248931885,-2.1302740573883057,-2.15307354927063
,-2.1598727703094482,-2.1784801483154297,-2.1315786838531494,-2.15347957611084
,-2.1598010063171387,-2.1773931980133057,-2.1315059661865234,-2.1534249782562256
,-2.159832239151001,-2.177687644958496,-2.1325619220733643,-2.1531612873077393
,-2.1600210666656494,-2.1790966987609863,-2.1358206272125244,-2.153151273727417
