LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-16.592117014135134,-17.341111105986784,-16.33690146454344,-18.34653624437018,-18.32843759019064,-17.921776695339823,-16.379051744724617,-12.006716220618836,-15.098723674103715,-15.344976201957188
-16.811595395463936,-17.341111105986784,-17.72994172771049,-18.34653624437018,-18.17891277776503,-17.921776695339823,-13.755608366615466,-12.006716220618836,-15.098723674103715,-15.344976201957188
-17.337187564347914,-17.407112801824113,-18.226599084899657,-18.3492168466579,-18.069740344504098,-17.959489028644903,-15.920612978940348,-12.330255082008025,-15.11598366875382,-15.621059277096315
-17.329364486238525,-17.466227333443122,-18.34904933242635,-18.351701448339245,-18.004006209125812,-17.993363112302642,-14.565070250174495,-12.66952106175463,-15.132621010593398,-15.878299948756695
-17.341479142595567,-17.51962536082619,-18.371817869253565,-18.35400945605015,-17.966598319948815,-18.0238197405217,-14.633871912341613,-13.020434553840781,-15.148667101297036,-16.116125269448727
-17.34080584851726,-17.56825622531973,-18.36974854263863,-18.356157882145194,-17.94562959708804,-18.051237011598342,-13.90644240468853,-13.378351594211482,-15.164151478446046,-16.33444410059181
-17.341131296102265,-17.612886173616932,-18.362711448089104,-18.35816170272766,-17.933932428483537,-18.075953819554517,-16.075970091544892,-13.738321718731505,-15.179102245924161,-16.53357548457706
-17.341102940999935,-17.65413107461119,-18.355926506627963,-18.360034116539584,-17.927418913814563,-18.09827291897835,-14.97136347347341,-14.095370894909944,-15.193545516263402,-16.71417327133907
-17.341111876021955,-17.692485192107306,-18.35053347459084,-18.36178681555361,-17.923793983491784,-18.118463949311092,-12.148241061180409,-14.444776415255744,-15.20750584552567,-16.877150144239206
-17.341111105986784,-17.72834443049644,-18.34653624437018,-18.363430126787655,-17.921776695339823,-18.136766494176847,-12.006716220618836,-14.7823004525842,-15.221006329560407,-17.023605298630493
,-17.76202596887939,,-18.364973226077,,-18.153392968939,,-15.104364764898436,-15.234068542304668,-17.154757657907957
,-17.79378408221502,,-18.36642426226336,,-18.16853138681809,,-15.408156260543379,-15.24671292145104,-17.27188754745707
,-17.823823172247813,,-18.367790482395524,,-18.182347818189317,,-15.69166705720637,-15.258958826452972,-17.37628755761909
,-17.852307946493987,,-18.369078416274917,,-18.19498881981713,,-15.95367621253503,-15.270824605378188,-17.469223948830784
,-17.87937207126562,,-18.370293851588432,,-18.20658357919449,,-16.19368664897013,-15.282326947687208,-17.551907381278664
,-17.905124658119718,,-18.371442047221382,,-18.217245876910184,,-16.411830023780254,-15.293482503870347,-17.62547278675804
,-17.929655666471135,,-18.372527718248545,,-18.227075799791894,,-16.608753256618588,-15.304306375543307,-17.69096719565799
,-17.95304007265495,,-18.373555137222972,,-18.236161336966102,,-16.785498239860058,-15.3148128971426,-17.74934359459277
,-17.975341534562187,,-18.374528152265448,,-18.24457992130452,,-16.94338512028583,-15.325015777858606,-17.80145968066519
,-17.996614624846803,,-18.375450277384047,,-18.252399646992664,,-17.083906132459923,-15.334927894203638,-17.848080517230315
,-18.016907144041774,,-18.376324739494976,,-18.259680321149936,,-17.20863509918674,-15.344561721869011,-17.889883036976006
,-18.03626174157292,,-18.377154455299117,,-18.26647459430797,,-17.31915476797765,-15.353928468185794,-17.927462727160673
,-18.054717066598016,,-18.377942089456933,,-18.27282881308368,,-17.417001848285995,-15.363039366655517,-17.961340568444033
,-18.072308804992495,,-18.378690133502843,,-18.278783808069896,,-17.503628458354587,-15.371904723779577,-17.99197066760184
,-18.089070384449517,,-18.379400876887907,,-18.284375647562644,,-17.580377898969733,-15.38053443858511,-18.019747662720984
,-18.1050335382624,,-18.38007642455434,,-18.289636012886863,,-17.648471810384184,-15.388937891498665,-18.04501353942816
,-18.120228748795565,,-18.380718717415498,,-18.29459304681091,,-17.709005712475175,-15.397123874995042,-18.06806446923025
,-18.134685441679945,,-18.38132957096394,,-18.299271642204445,,-17.762951345459257,-15.405100935535591,-18.08915658309764
,-18.148432211357107,,-18.38191066433675,,-18.303693868983554,,-17.811162873626387,-15.41287720029134,-18.108511265763475
,-18.16149702083864,,-18.38246357558201,,-18.30787934441125,,-17.854385601122793,-15.420460364564923,-18.12632018493606
,-18.173907175023743,,-18.38298976863574,,-18.311845593730055,,-17.89326612686961,-15.427857504646536,-18.142749069047074
,-18.18568946569433,,-18.383490624584734,,-18.31560824885567,,-17.92836303044371,-15.435075559651924,-18.157941759436138
,-18.196870112621262,,-18.383967448622002,,-18.3191813558927,,-17.96015704950816,-15.442121215708799,-18.172023020774237
,-18.20747484167402,,-18.384421454155298,,-18.322577515474247,,-17.989061084779976,-15.449000676055878,-18.185101630172333
,-18.21752883025162,,-18.384853772239662,,-18.325808100566807,,-18.015429302394242,-15.455720038591883,-18.197272332452307
,-18.227056634368267,,-18.385265477652094,,-18.328883335615053,,-18.039565014207454,-15.462284992589687,-18.208618170372954
,-18.236082212073605,,-18.38565759021408,,-18.331812565209198,,-18.06172828179263,-15.468701098206255,-18.219211948538426
,-18.244628886526577,,-18.386031063144987,,-18.334604301003825,,-18.082142042972837,-15.474973466944215,-18.229117916490207
,-18.25271932379415,,-18.386386802905836,,-18.33726626324191,,-18.100997621861666,-15.481107169404773,-18.238392871085885
,-18.260375478506447,,-18.386725675014254,,-18.3398055937343,,-18.118459585337263,-15.48710697036167,-18.247087115311633
,-18.267618599434794,,-18.387048488583368,,-18.34222882209892,,-18.13466993755695,-15.492977311044521,-18.255245702347473
,-18.274469235528965,,-18.387356029301912,,-18.344541999253575,,-18.149751342180892,-15.498722646970922,-18.26290872591489
,-18.280947181495037,,-18.38764900157679,,-18.346750722241186,,-18.1638101576888,-15.504346952420939,-18.270112324538466
,-18.28707149347703,,-18.38792811137643,,-18.34886018158135,,-18.176939067570444,-15.509854460100616,-18.276889086484434
,-18.292860463199215,,-18.388194017169425,,-18.350875203014454,,-18.189219058960077,-15.515248822446397,-18.28326849830261
,-18.29833168282981,,-18.38844734780983,,-18.352800307813343,,-18.200721217489125,-15.520533901332756,-18.2892773576515
,-18.30350184789638,,-18.38868870765039,,-18.35463974407817,,-18.211508283992245,-15.52571300300616,-18.294940185854827
,-18.308387022371473,,-18.3889186462487,,-18.356397519162428,,-18.22163583129065,-15.530789596334246,-18.30027929491991
,-18.313002568573566,,-18.38913770163898,,-18.35807734086491,,-18.231153304013226,-15.535766778175155,-18.30531528560278
,-18.317363078374626,,-18.389346405344636,,-18.359682747538358,,-18.24010501635415,-15.540647809181188,-18.310067058845068
,-18.321482467451002,,-18.389545228193324,,-18.361217085457746,,-18.24853078925841,-15.545435591619157,-18.31455213804129
,-18.32537400899251,,-18.389734643183626,,-18.362683514555485,,-18.256466576193386,-15.550132940110116,-18.318786679943933
,-18.329050197085852,,-18.38991508168047,,-18.36408505702837,,-18.263944995615823,-15.554742480307809,-18.322785717647516
,-18.33252298396167,,-18.390086969319785,,-18.36542456624299,,-18.270995789441333,-15.559267212778856,-18.32656320000434
,-18.33580365763329,,-18.390250715385125,,-18.36670473788285,,-18.277646164824763,-15.563709351735787,-18.330132204378025
,-18.33890297568219,,-18.390406696373237,,-18.367928145660912,,-18.28392113678852,-15.568071392434552,-18.333504810826007
,-18.341831072106427,,-18.390555278657548,,-18.369097279159078,,-18.289843718653604,-15.572355756450898,-18.336692397645585
,-18.344597565266465,,-18.390696811422732,,-18.370214509657025,,-18.29543523668175,-15.576564457304903,-18.339705620742105
,-18.347211544757055,,-18.39083162728408,,-18.37128204538398,,-18.300715491427177,-15.580699786202567,-18.342554418367833
,-18.349681581615723,,-18.390960038037328,,-18.3723020520402,,-18.305702778136393,-15.584763967557095,-18.345248151779774
,-18.352015754633886,,-18.39108235280404,,-18.373276574224008,,-18.310414187650874,-15.58875903236354,-18.3477955620048
,-18.354221730079452,,-18.391198845967825,,-18.374207570636944,,-18.314865732123238,-15.592686759245208,-18.350204864974444
,-18.35630680551625,,-18.39130980378077,,-18.37509692422073,,-18.31907232063651,-15.596549003381726,-18.352483872856524
,-18.358277734759277,,-18.39141547781008,,-18.37594642740081,,-18.323047999171514,-15.600347637444523,-18.3546397978125
,-18.36014096478315,,-18.391516120407548,,-18.376757810236562,,-18.326805832852255,-15.604084290126698,-18.3566795613573
,-18.361902556435478,,-18.391611966008846,,-18.377532725348846,,-18.33035817206913,-15.60776085899917,-18.358609582991033
,-18.363568262647178,,-18.391703237845103,,-18.37827273796915,,-18.333716559548552,-15.611378759654896,-18.3604359412518
,-18.365143470242003,,-18.39179015848362,,-18.378979373729997,,-18.33689189487123,-15.614939680718045,-18.362164376338672
,-18.36663325852597,,-18.39187293418365,,-18.37965409506835,,-18.339894407480585,-15.618444886937239,-18.36380028781356
,-18.368042399184827,,-18.39195175296593,,-18.38029826276899,,-18.342733768182594,-15.621896099310765,-18.365348774419065
,-18.36937543457348,,-18.39202680486179,,-18.380913232816454,,-18.3454190915542,-15.625294579823858,-18.366814630586497
,-18.370636598947105,,-18.39209827185523,,-18.381500277613622,,-18.347958890272658,-15.628641747453916,-18.36820240233008
,-18.371829924799805,,-18.392166320680168,,-18.38206060501235,,-18.350361253841907,-15.631938833134722,-18.369516361875235
,-18.372959181931517,,-18.392231118607405,,-18.38259541563752,,-18.35263384876087,-15.635187187399605,-18.370760541793896
,-18.37402794800087,,-18.392292811410208,,-18.383105818086865,,-18.354783786445935,-15.638388051112262,-18.371938736233325
,-18.3750395778151,,-18.39235155172515,,-18.383592879859556,,-18.356817904127208,-15.641542528934698,-18.373054537411743
,-18.375997205112494,,-18.39240747474986,,-18.384057632641966,,-18.35874258811933,-15.64465162010932,-18.374111362381363
,-18.376903842731462,,-18.39246072220383,,-18.38450108008483,,-18.36056387515431,-15.647716659606115,-18.37511237862506
,-18.377762301628128,,-18.39251141011127,,-18.384924149607397,,-18.362287419836623,-15.650738669062383,-18.376060644217937
,-18.378575239642508,,-18.392559669145268,,-18.385327770751484,,-18.363918631525337,-15.653718646878948,-18.376958989456348
,-18.37934512270144,,-18.392605611753975,,-18.38571278299092,,-18.36546255694724,-15.65665766556543,-18.377810118339035
,-18.380074339898417,,-18.39264934586076,,-18.386080043697174,,-18.36692402503227,-15.659556770159856,-18.378616569523157
,-18.38076509473234,,-18.392690982096706,,-18.386430328612825,,-18.36830753566987,-15.662416791021773,-18.379380750335383
,-18.38141949054065,,-18.39273061357326,,-18.386764414397557,,-18.369617364893575,-15.665238552160355,-18.380104937334444
,-18.382039485815557,,-18.392768340998234,,-18.387083014624615,,-18.37085751099632,-15.668023115192774,-18.38079127428467
,-18.382626963128953,,-18.392804255159213,,-18.387386831923624,,-18.37203180307737,-15.670771259421977,-18.381441785422627
,-18.383183682106903,,-18.392838438908008,,-18.387676541463453,,-18.37314381283433,-15.67348373962371,-18.382058392324243
,-18.383711307236737,,-18.39287097587752,,-18.38795277358077,,-18.374196966263725,-15.67616147216771,-18.382642908527476
,-18.384211401472747,,-18.39290194724273,,-18.388216134515837,,-18.375194428121386,-15.678805264099248,-18.383197040141535
,-18.38468544351973,,-18.392931429568325,,-18.388467224481353,,-18.37613923716701,-15.681415904956257,-18.383722399178748
,-18.385134821287757,,-18.392959491321104,,-18.388706588395255,,-18.37703423197379,-15.68399407992204,-18.38422052629581
,-18.385560865997494,,-18.392986198243047,,-18.388934764236595,,-18.377882113694522,-15.686540460810013,-18.38469286375133
,-18.385964819339996,,-18.393011619005705,,-18.389152255298864,,-18.37868544213721,-15.689055789445062,-18.385140765498377
,-18.386347869289235,,-18.39303581031237,,-18.389359558521573,,-18.379446595324968,-15.691540791831802,-18.3855655345692
,-18.38671111652555,,-18.393058833485775,,-18.38955713805283,,-18.38016786957033,-15.69399608931892,-18.385968405318646
,-18.38705561508918,,-18.39308074902399,,-18.38974544963285,,-18.380851394722995,-15.696422298134014,-18.38635051873825
,-18.387382356278163,,-18.393101606394303,,-18.38992490870197,,-18.38149919837244,-15.698819934242595,-18.386712951049816
,-18.387692283904542,,-18.393121456301063,,-18.390095926626376,,-18.382113201938566,-15.701189834541365,-18.387056756006285
,-18.38798628135201,,-18.393140343394272,,-18.39025888663753,,-18.382695213001767,-15.703532322315292,-18.38738292070968
,-18.388265175341576,,-18.393158318296756,,-18.390414163497546,,-18.383246931788772,-15.705848207435913,-18.387692354122365
,-18.3885297769829,,-18.393175426373574,,-18.39056212386533,,-18.38376999697152,-15.70813795507578,-18.38798593862699
,-18.38878083026198,,-18.393191707357698,,-18.390703090729502,,-18.38426591437848,-15.710402112385243,-18.388264485365468
,-18.38901903940595,,-18.39320719860372,,-18.390837400439317,,-18.384736125751996,-15.712641195335513,-18.38852879225373
,-18.389245075626764,,-18.393221939483865,,-18.390965354699688,,-18.385182003845326,-15.714855729837842,-18.388779614482115
,-18.389459578452353,,-18.393235967630176,,-18.39108724917845,,-18.385604824552374,-15.717046301950528,-18.389017626151453
,-18.389663144536296,,-18.393249316465397,,-18.391203371792034,,-18.386005827449555,-15.719213324426718,-18.389243515399798
,-18.389856350704093,,-18.393262021266214,,-18.391313986944112,,-18.38638614102402,-15.721357134620483,-18.389457907149694
,-18.39003972260046,,-18.393274107957826,,-18.391419348589952,,-18.386746885171274,-15.72347829012173,-18.389661384972726
,-18.39021378505999,,-18.393285609889205,,-18.391519709618997,,-18.38708905495519,-15.725577337286957,-18.389854522183253
,-18.390379015029776,,-18.393296553746012,,-18.3916152945574,,-18.387413658403506,-15.727654652405109,-18.390037857379692
,-18.39053586023324,,-18.393306969425325,,-18.391706338457485,,-18.387721592188587,-15.729710699709287,-18.39021189245841
,-18.390684755153725,,-18.393316879060492,,-18.391793045664823,,-18.38801375229929,-15.731745839951865,-18.390377113551196
,-18.390826121016396,,-18.39332630744572,,-18.3918756226618,,-18.388290952177087,-15.733760425731132,-18.390533962442053
,-18.390960335256054,,-18.393335280371247,,-18.391954269094686,,-18.388553977317088,-15.735754899380193,-18.39068287880835
,-18.391087768395,,-18.39334381712752,,-18.392029157061835,,-18.388803562064943,-15.737729755366338,-18.390824264538274
,-18.39120876712904,,-18.39335193890229,,-18.392100476883606,,-18.389040411278074,-15.739685265199354,-18.390958509766897
,-18.391323662213814,,-18.393359666567218,,-18.392168389643412,,-18.389265187797477,-15.741621753039729,-18.391085980325524
,-18.391432760435446,,-18.393367020065376,,-18.39223305425918,,-18.38947851495424,-15.743539690549756,-18.39120701860355
,-18.39153636334508,,-18.393374014937695,,-18.3922946318658,,-18.389680987298078,-15.745439485609452,-18.391321958140352
,-18.391634755623574,,-18.393380669625472,,-18.392353261162317,,-18.389873163495004,-15.747321286631305,-18.39143110778253
,-18.391728206070766,,-18.393387001191297,,-18.392409085275247,,-18.390055584438148,-15.749185644463221,-18.3915347651834
,-18.39181695443305,,-18.393393026462622,,-18.392462233180737,,-18.39022873862718,-15.751032696031261,-18.391633211641906
,-18.39190124643878,,-18.393398758819696,,-18.392512833725277,,-18.390393122638805,-15.75286282738538,-18.391726707036675
,-18.391981310792556,,-18.393404213253916,,-18.39256101171071,,-18.390549180013082,-15.75467631781249,-18.391815508090552
,-18.392057353277202,,-18.393409402512404,,-18.392606880436166,,-18.390697345043986,-15.756473542416119,-18.39189985147883
,-18.392129588182193,,-18.393414337885734,,-18.392650547253343,,-18.39083801081564,-15.758254768961821,-18.391979968834722
,-18.392198207053678,,-18.39341903315043,,-18.392692117808227,,-18.390971576603334,-15.760020362070565,-18.392056067861567
,-18.392263386417127,,-18.393423501416468,,-18.39273169074778,,-18.39109839646061,-15.761770531783185,-18.392128354765898
,-18.39232530635432,,-18.39342775285543,,-18.392769360669845,,-18.391218821489662,-15.763505531370274,-18.392197024140877
,-18.392384131679325,,-18.393431796816266,,-18.392805220711463,,-18.391333176954774,-15.765225608209466,-18.39226225456687
,-18.39244001781237,,-18.39343564358325,,-18.39283935233437,,-18.39144177051431,-15.766931108531297,-18.392324223823884
,-18.392493113239205,,-18.393439303472856,,-18.392871845321558,,-18.391544895946147,-15.76862222612195,-18.392383096647677
,-18.392543559771912,,-18.393442785447824,,-18.392902774127062,,-18.391642836330448,-15.770299342882739,-18.3924390284299
,-18.392591488436672,,-18.393446097700213,,-18.392932211417158,,-18.391735859019928,-15.771962644335034,-18.392492167637634
,-18.39263702702293,,-18.393449249693887,,-18.39296023171123,,-18.391824210721424,-15.773612354716658,-18.392542654262822
,-18.392680295087246,,-18.393452247306044,,-18.392986900508216,,-18.391908124706987,-15.775248759482851,-18.39259061945015
,-18.392721409278646,,-18.39345509967175,,-18.39301228173154,,-18.39198782864881,-15.77687196888371,-18.39263619888019
,-18.392760476947068,,-18.393457812126524,,-18.393036441102268,,-18.3920635351675,-15.778482262737135,-18.392679502460005
,-18.392797599146725,,-18.393460392761757,,-18.393059436041703,,-18.392135449570002,-15.780079995827558,-18.39272064878143
,-18.392832875528295,,-18.39346284784291,,-18.393081318376186,,-18.39220376557622,-15.78166537126416,-18.392759749337127
,-18.392866396793163,,-18.393465183707704,,-18.393102145254407,,-18.392268660944794,-15.783238515028025,-18.392796902688197
,-18.392898248958197,,-18.39346740608555,,-18.393121968128177,,-18.39233030770736,-15.784799625111077,-18.392832209330884
,-18.39292852133699,,-18.393469520464247,,-18.393140831419792,,-18.392388876977638,-15.78634886013127,-18.392865759170554
,-18.392957289416515,,-18.39347153082322,,-18.39315878259497,,-18.392444521310868,-15.787886554302561,-18.39289764408349
,-18.392984626832536,,-18.39347344383065,,-18.393175866179757,,-18.39249738845711,-15.789412859498407,-18.39292794595693
,-18.393010607308607,,-18.3934752627668,,-18.39319212199897,,-18.39254761504103,-15.790928068768599,-18.392956739116165
,-18.39303530118356,,-18.393476993791605,,-18.39320759184967,,-18.392595334342463,-15.792432218908923,-18.392984102118017
,-18.393058768104083,,-18.393478640127068,,-18.39322231484883,,-18.392640675391654,-15.793925566207026,-18.393010108601725
,-18.39308107257387,,-18.39348020603992,,-18.393236325016872,,-18.39268375545217,-15.7954082853939,-18.393034824395382
,-18.39310227196171,,-18.393481695874026,,-18.393249655813577,,-18.39272469236192,-15.79688068807077,-18.39305831684154
,-18.393122421134482,,-18.393483113241604,,-18.39326234179035,,-18.392763591342753,-15.798342741224658,-18.39308064287112
,-18.393141572548316,,-18.393484461070447,,-18.39327441354239,,-18.392800554592696,-15.799794751569022,-18.393101863084308
,-18.39315977633629,,-18.393485743983256,,-18.393285899680663,,-18.392835679752004,-15.801236852912002,-18.393122033460568
,-18.39317707668464,,-18.39348696435108,,-18.393296831338702,,-18.392869058632968,-15.802669177809307,-18.39314120248066
,-18.393193523232465,,-18.39348812448682,,-18.393307231680446,,-18.392900780390406,-15.804092022680607,-18.393159424314216
,-18.393209156116626,,-18.39348922853298,,-18.393317128749896,,-18.39293092386138,-15.805505514451063,-18.39317674206984
,-18.393224013832754,,-18.39349027877128,,-18.393326544398583,,-18.392959569380913,-15.806909754779818,-18.3931932027676
,-18.393238136644264,,-18.393491277191405,,-18.393335505078262,,-18.392986794939006,-15.808304917300575,-18.393208849328445
,-18.393251562947224,,,,-18.393344029438964,,-18.393012667846758,-15.809691100735149,-18.393223724630637
,-18.393264326154355,,,,-18.393352139911862,,-18.39303725630674,-15.811068587393498,-18.393237864358856
,-18.39327645743581,,,,-18.393359858621256,,-18.393060626197023,-15.812437474340243,-18.393251303658094
,-18.393287990541403,,,,-18.393367202915766,,-18.393082837349155,-15.813797901587618,-18.393264079396637
,-18.39329895464755,,,,-18.393374188929076,,-18.39310394812479,-15.815149985481904,-18.39327622276084
,-18.393309376905048,,,,-18.39338083741211,,-18.393124013173892,-15.816493860558586,-18.393287768325276
,-18.39331928483625,,,,-18.393387162979707,,-18.39314308368217,-15.817829756953767,-18.393298741465344
,-18.393328703252845,,,,-18.39339317971955,,-18.393161210702967,-15.819157805015157,-18.393309173223205
,-18.393337658594834,,,,-18.39339890335806,,-18.3931784409333,-15.820477978763275,-18.393319092383962
,-18.39334617150125,,,,-18.393404349413206,,-18.393194817379392,-15.821790658499353,-18.393328521604953
,-18.393354264375013,,,,-18.39340953062336,,-18.3932103873244,-15.823095816248225,-18.39333748537532
,-18.39336195860969,,,,-18.393414460262353,,-18.39322518447304,-15.824393559137233,-18.39334600640798
,-18.393369273988593,,,,-18.393419150000955,,-18.393239249003948,-15.825684142170736,-18.39335410778725
,-18.393376227070664,,,,-18.39342361248524,,-18.39325261923063,-15.826967654340242,-18.39336180955297
,-18.3933828390172,,,,-18.393427858358894,,-18.393265328491363,-15.828244212468258,-18.393369132189388
,-18.39338912540054,,,,-18.393431896962287,,-18.393277411825416,-15.829513917678796,-18.393376092884125
,-18.393395100606597,,,,-18.393435739913013,,-18.393288898770706,-15.830776870387952,-18.393382709854954
,-18.39340078331287,,,,-18.393439394809445,,-18.39329981844339,-15.832033303235264,-18.393389001096654
,-18.393406184415742,,,,-18.393442871575616,,-18.393310198705986,-15.833283181775409,-18.393394983187683
,-18.39341132061521,,,,-18.3934461804571,,-18.39332006621185,-15.834526746262455,-18.393400670382473
,-18.393416204292745,,,,-18.393449327598617,,-18.39332944572274,-15.835764082717729,-18.393406077903613
,-18.39342084732629,,,,-18.393452322104036,,-18.393338363623485,-15.836995295590633,-18.393411218775977
,-18.39342526249634,,,,-18.393455169952222,,-18.39334684119645,-15.838220471032457,-18.393416106959936
,-18.393429460144223,,,,-18.393457879548134,,-18.393354900068964,-15.839439710955222,-18.39342075383528
,-18.393433450675992,,,,-18.393460457422833,,-18.393362563409315,-15.840653238795722,-18.393425172717656
,-18.393437245351663,,,,-18.393462909838934,,-18.39336984727067,-15.841861014998068,-18.39342937395223
,-18.393440853183616,,,,-18.39346524313118,,-18.393376772394603,-15.843063261354738,-18.393433367948003
,-18.393444283258262,,,,-18.393467463026468,,-18.39338335802804,-15.844260067917931,-18.393437165970028
,-18.39344754546999,,,,-18.39346957338536,,-18.393389618487078,-15.8454515242304,-18.393440777475153
,-18.39345064647546,,,,-18.39347158147253,,-18.393395571501728,-15.846637719338423,-18.39344421108902
,-18.39345359540714,,,,-18.393473491985947,,-18.393401230131655,-15.847818741803499,-18.393447476711344
,-18.393456399435838,,,,-18.39347530881583,,-18.39340661069171,-15.848994681222754,-18.393450580593633
,-18.393459065438577,,,,-18.39347703752079,,-18.393411725073413,-15.850165751191929,-18.393453532302463
,-18.393461600375897,,,,-18.39347868162318,,-18.393416587758047,-15.85133190975861,-18.393456339399208
,-18.39346401053759,,,,-18.39348024566092,,-18.393421212520604,-15.852493370443769,-18.39345900835611
,-18.39346630194951,,,,-18.39348173341978,,-18.393425608217477,-15.853650217665617,-18.393461546137907
,-18.393468482045407,,,,-18.393483148790203,,-18.393429788968316,-15.854802536384613,-18.393463959037767
,-18.39347055493632,,,,-18.393484494698,,-18.393433763233595,-15.855950408901709,-18.393466253085343
,-18.393472525887585,,,,-18.393485775762443,,-18.393437542250535,-15.857093917609511,-18.393468434395125
,-18.393474400252067,,,,-18.393486994352667,,-18.39344113545256,-15.858233148294802,-18.393470509759883
,-18.39347618162757,,,,-18.3934881527798,,-18.393444551443416,-15.859368180165777,-18.393472483091582
,-18.393477875553774,,,,-18.39348925541387,,-18.3934478000973,-15.860499221037594,-18.393474358518976
,-18.3934794870144,,,,-18.393490304067512,,-18.39345088922261,-15.861626224872435,-18.39347614181996
,-18.393481018777113,,,,-18.393491301862582,,-18.393453826708697,-15.862749404713583,-18.393477837901205
,-18.393482475196006,,,,,,-18.393456619712783,-15.863868709292353,-18.393479451434764
,-18.39348386119733,,,,,,-18.39345927547483,-15.864984344139222,-18.39348098519045
,-18.39348517833992,,,,,,-18.393461800545584,-15.866096388228334,-18.39348244352518
,-18.393486431229533,,,,,,-18.393464201203017,-15.867204920246587,-18.393483830312984
,-18.393487622248543,,,,,,-18.39346648346118,-15.868310018602864,-18.3934851492513
,-18.39348875491629,,,,,,-18.393468653419205,-15.869411771765058,-18.393486403866675
,-18.39348983233545,,,,,,-18.39347071785191,-15.87051024859641,-18.393487596543558
,-18.393490856554283,,,,,,-18.39347268066057,-15.871605526724622,-18.39348873080359
,-18.393491830453534,,,,,,-18.393474547186575,-15.87269780738257,-18.393489808821535
,,,,,,,-18.39347632221343,-15.873787043400885,-18.39349083453147
,,,,,,,-18.39347801031475,-15.874873325317711,-18.393491809862333
,,,,,,,-18.39347961472665,-15.875956840689604,
,,,,,,,-18.393481140815883,-15.877037665318007,
,,,,,,,-18.39348259176526,-15.878115752127465,
,,,,,,,-18.393483971439437,-15.879191315921247,
,,,,,,,-18.393485283525678,-15.880264417006016,
,,,,,,,-18.393486530540994,-15.881335026017547,
,,,,,,,-18.393487717138772,-15.882403324054835,
,,,,,,,-18.39348884530107,-15.88346940474121,
,,,,,,,-18.393489918379537,-15.884533325099857,
,,,,,,,-18.393490938418616,-15.885595179787238,
,,,,,,,-18.393491908517937,-15.886655024226698,
,,,,,,,,-15.887712954140673,
,,,,,,,,-15.888769045585567,
,,,,,,,,-15.889823494686043,
,,,,,,,,-15.89087625666139,
,,,,,,,,-15.891927407263262,
,,,,,,,,-15.892977022155417,
,,,,,,,,-15.894025296205179,
,,,,,,,,-15.895072185192506,
,,,,,,,,-15.89611776456073,
,,,,,,,,-15.897162255882996,
,,,,,,,,-15.898205589208203,
,,,,,,,,-15.899247868749088,
,,,,,,,,-15.900289260141175,
,,,,,,,,-15.901329750490607,
,,,,,,,,-15.902369534548988,
,,,,,,,,-15.903408571587514,
,,,,,,,,-15.904447055901677,
,,,,,,,,-15.905484947201005,
,,,,,,,,-15.90652247306158,
,,,,,,,,-15.907559561327133,
,,,,,,,,-15.908596440557313,
,,,,,,,,-15.909633037715153,
,,,,,,,,-15.910669582376991,
,,,,,,,,-15.911706037824057,
,,,,,,,,-15.91274259890061,
,,,,,,,,-15.913779268033508,
,,,,,,,,-15.914816202585696,
,,,,,,,,-15.91585340698975,
,,,,,,,,-15.916891036931412,
,,,,,,,,-15.917929098883368,
,,,,,,,,-15.918967675010967,
,,,,,,,,-15.920006961356645,
,,,,,,,,-15.921046969676222,
,,,,,,,,-15.922087740384322,
,,,,,,,,-15.923129514246893,
,,,,,,,,-15.924172262716898,
,,,,,,,,-15.925216070948256,
,,,,,,,,-15.926261024264619,
,,,,,,,,-15.927307320355263,
,,,,,,,,-15.928354980913022,
,,,,,,,,-15.929404094023756,
,,,,,,,,-15.930454747985248,
,,,,,,,,-15.931507031314347,
,,,,,,,,-15.932560921705193,
,,,,,,,,-15.93361667201788,
,,,,,,,,-15.934674373728475,
,,,,,,,,-15.935734118576299,
,,,,,,,,-15.936795888451769,
,,,,,,,,-15.937859941641356,
,,,,,,,,-15.938926207190606,
,,,,,,,,-15.93999494504342,
,,,,,,,,-15.941066141519263,
,,,,,,,,-15.942139951652663,
,,,,,,,,-15.943216583353088,
,,,,,,,,-15.944296027024041,
,,,,,,,,-15.945378382616722,
,,,,,,,,-15.946463750463808,
,,,,,,,,-15.947552186007583,
,,,,,,,,-15.948643900978702,
,,,,,,,,-15.949738999323792,
,,,,,,,,-15.950837543302766,
,,,,,,,,-15.951939747651387,
