LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-20.240585937376878,-20.730281438248706,-19.914940932226255,-23.11457004167357,-22.910631082246123,-21.49883000448913,-20.003721738583426,-19.870298593032306,-19.556809956561246,-18.71674926155949
-20.13093229576944,-20.730281438248706,-21.76848026624676,-23.11457004167357,-22.45102401474344,-21.49883000448913,-19.918483863573726,-19.870298593032306,-19.556809956561246,-18.71674926155949
-20.71671779394373,-20.939965096026576,-22.58881305648688,-23.12376632855672,-22.09675050592626,-21.729385674133002,-18.418076037483317,-19.877487583070216,-19.578937281488454,-19.099989440889228
-20.71366097864372,-21.12495707807787,-22.88637331302323,-23.13147106054186,-21.860609374092487,-21.932476753822677,-13.383010622491371,-19.884863144251085,-19.60059499243893,-19.464099977768292
-20.7305675635717,-21.2889961197978,-23.00539093651252,-23.13792465040555,-21.711887300379562,-22.110126794252224,-19.344031558099577,-19.892430867747336,-19.62183035842374,-19.80662300312151
-20.729743694331855,-21.43536847081011,-23.059176948202726,-23.143329243362253,-21.620562173915324,-22.264573081299194,-15.861986249899477,-19.90019678985574,-19.642687561375386,-20.125898114446276
-20.7303086362114,-21.566868788814368,-23.086158001166535,-23.14785477325021,-21.56508933848683,-22.398134414403874,-17.51784419702887,-19.90816681270247,-19.66320848745665,-20.42101535185827
-20.73026330766087,-21.685818198107416,-23.10085592036288,-23.151643926035234,-21.531509571420187,-22.513107288196267,-16.420480831236752,-19.916346991078996,-19.683432350448722,-20.69174029562897
-20.730283722271704,-21.794111283026666,-23.109383330254175,-23.15481634191169,-21.5111736711448,-22.611693110985115,-19.93798517952737,-19.924743805574387,-19.703396464195567,-20.938419327762197
-20.730281438248706,-21.893276132900372,-23.11457004167357,-23.157472397935287,-21.49883000448913,-22.695948642858838,-19.870298593032306,-19.93336393066687,-19.72313613771038,-21.161873405852955
,-21.98453632084953,,-23.159696168659572,,-22.767758068206668,,-19.942213877647546,-19.742684580464804,-21.36328669319857
,-22.068867667065614,,-23.161558121013393,,-22.82881993942392,,-19.95130064225587,-19.76207358018665,-21.544097786635525
,-22.147049639738437,,-23.163117262428035,,-22.880646049045524,,-19.96063170995001,-19.781333373255855,-21.705900882128375
,-22.21970735618672,,-23.164423000231846,,-22.924567939496722,,-19.970214077778337,-19.800492812507954,-21.850360025456162
,-22.28734700152331,,-23.165516706100576,,-22.96174807436659,,-19.98005524557809,-19.819579640076988,-21.979139921902856
,-22.35038446434476,,-23.16643295534501,,-22.993194466336522,,-19.990162876444433,-19.838619873529083,-22.09385326883148
,-22.409166939711344,,-23.167200708477417,,-23.019775589206777,,-20.00054479705043,-19.857639252257535,-22.19602381903838
,-22.463990952916426,,-23.16784420004321,,-23.04223647006793,,-20.011209374084338,-19.87666196392915,-22.287063021031223
,-22.51511520371751,,-23.16838370690286,,-23.06121364822714,,-20.022164798702484,-19.895711413463182,-22.36825818832374
,-22.562770132534048,,-23.16883618105398,,-23.0772488482736,,-20.033419404178808,-19.914810472409542,-22.440768241649906
,-22.607165525173702,,-23.16921580442823,,-23.090801994196113,,-20.044981706849345,-19.933980607509383,-22.50562647940599
,-22.648495498447296,,-23.169534449075798,,-23.102262784368534,,-20.056860761048462,-19.953243413343966,-22.563746846693917
,-22.686942324230383,,-23.16980203389514,,-23.111960613323483,,-20.06906539732349,-19.972619112546923,-22.61593303080921
,-22.722678608738814,,-23.170026855712564,,-23.12017358515245,,-20.081605034392908,-19.992127830621303,-22.66288863760585
,-22.755868585593657,,-23.170215868987423,,-23.127136086593694,,-20.09448880684696,-20.0117888238982,-22.7052277728553
,-22.78666974017436,,-23.17037487716851,,-23.13304544560596,,-20.10772604132179,-20.031620773207116,-22.74348541470134
,-22.815232833238095,,-23.17050874506597,,-23.138067897195462,,-20.12132657167847,-20.05164195979309,-22.778127026005407
,-22.8417022507685,,-23.170621536639104,,-23.142343130546234,,-20.13529998093549,-20.071870503569343,-22.809557692585603
,-22.866216018353782,,-23.17071666366335,,-23.14598857051371,,-20.149655984226648,-20.09232345363657,-22.838130209883204
,-22.888905985651643,,-23.170796968580813,,-23.149102879730737,,-20.164404847935632,-20.113017771769233,-22.864152056843714
,-22.909897660749834,,-23.170864838931585,,-23.15176895945033,,-20.179556048499,-20.133969867939662,-22.887891844261212
,-22.929310210879542,,-23.170922261586735,,-23.154056517406758,,-20.19512006748442,-20.15519635037098,-22.909584588739293
,-22.947256249197885,,-23.170970913277795,,-23.15602403342061,,-20.2111065512796,-20.17671243747774,-22.929436510515433
,-22.963842053744578,,-23.171012198728636,,-23.157720688762602,,-20.227525658816386,-20.198533336510607,-22.947629077949976
,-22.979167722721478,,-23.171047282537945,,-23.159187809146516,,-20.244387577946256,-20.220673987655744,-22.964322325005277
,-22.993327017143173,,-23.171077144664093,,-23.160460155803364,,-20.261702137345083,-20.24314858170671,-22.97965782414727
,-23.00640772893131,,-23.1711026135743,,-23.16156690926328,,-20.279479070958995,-20.265971032104602,-22.993761313998366
,-23.018491892970143,,-23.171124376838147,,-23.16253267892617,,-20.297728619180468,-20.28915449220613,-23.006744568692753
,-23.029655722476708,,-23.17114301481786,,-23.16337819393384,,-20.316459993746136,-20.31271182130017,-23.018707506040407
,-23.03997004054174,,-23.171159012477155,,-23.164120883696494,,-20.335682323606083,-20.336655747319274,-23.029739636120535
,-23.049500762850712,,-23.171172774926912,,-23.164775479384407,,-20.355404681535653,-20.360997865244382,-23.039921166865547
,-23.0583088427328,,-23.17118464666283,,-23.16535443173678,,-20.375636433878647,-20.38574978932004,-23.049324317493834
,-23.066450615302085,,-23.17119491522794,,-23.16586823558412,,-20.39638528333539,-20.41092195542327,-23.058014200785195
,-23.07397813058783,,-23.17120382154736,,-23.166325796029867,,-20.417659492609868,-20.436524415385122,-23.06604983207211
,-23.08093943180703,,-23.17121156828409,,-23.166734642396605,,-20.439466854129606,-20.462566355645336,-23.073484608810183
,-23.087378903513606,,-23.171218327628996,,-23.16710119933758,,-20.461814063365214,-20.489055878309806,-23.080367058854982
,-23.093337270930018,,-23.171224243812624,,-23.1674308918492,,-20.484707503025096,-20.516001089698708,-23.086741248700317
,-23.098852240623238,,-23.17122944043798,,-23.167728374034127,,-20.50815317162708,-20.54340872474426,-23.092647383830993
,-23.10395829699052,,-23.17123401803988,,-23.167997589359345,,-20.532155863587516,-20.571284747341632,-23.0981221383356
,-23.108687293562095,,-23.17123806211703,,-23.168241940125533,,-20.556719893815583,-20.59963436079958,-23.103199070934032
,-23.113068546788895,,-23.171241648970227,,-23.16846432902166,,-20.581848875730486,-20.62846104894654,-23.107908814228285
,-23.117128915975993,,-23.171244839552056,,-23.168667257026183,,-20.6075449591636,-20.657768116469764,-23.112279533937567
,-23.120893141825256,,-23.171247686843973,,-23.168852875027582,,-20.633809682182974,-20.68755727159533,-23.116336966248657
,-23.124383939859204,,-23.171250236686447,,-23.169023052925507,,-20.660643485361998,-20.71782885065189,-23.12010474121477
,-23.127622275272888,,-23.17125252697558,,-23.169179404065183,,-20.688045820277203,-20.748582164426015,-23.123604644443958
,-23.13062741424769,,-23.17125459057213,,-23.169323328889583,,-20.71601445827775,-20.779815104830085,-23.12685661409856
,-23.133416966176483,,-23.171256455369296,,-23.169456055385176,,-20.744546213651923,-20.81152418365983,-23.12987909696393
,-23.136007261331418,,-23.171258144091503,,-23.169578667744354,,-20.773636778828607,-20.84370503556884,-23.132689044625046
,-23.138413296818623,,-23.171259678244777,,-23.169692098635412,,-20.80328042321545,-20.876351283950264,-23.135302057840104
,-23.140648815301162,,-23.171261075375465,,-23.169797188949843,,-20.833469672634696,-20.909454572124684,-23.137732543998816
,-23.142726529569288,,-23.171262350955235,,-23.16989467463281,,-20.864195814826175,-20.943005854207485,-23.13999380771232
,-23.144658176762007,,-23.171263518607606,,-23.169985208917275,,-20.895448640855403,-20.976994293347726,-23.14209809075662
,-23.146454484666183,,-23.1712645890289,,-23.170069371147605,,-20.92721608597997,-21.011407074711183,-23.144056716694735
,-23.148125418634386,,-23.17126557170265,,-23.17014768276052,,-20.95948518456188,-21.04623008939685,-23.145880189953857
