Phase I,Phase II
-21.571465849361395,-22.607933839843778
-22.306512007987997,-22.607933839843778
-22.497423978304834,-22.6166287191061
-22.55848803319402,-22.624903923428196
-22.582565859452753,-22.632750582664833
-22.593861037842093,-22.640161580207046
-22.599996198219905,-22.647132239547457
-22.60373662288228,-22.65366074018196
-22.606210712850363,-22.659748703535637
-22.607933839843778,-22.665401676161075
,-22.67062963724159
,-22.675447714144152
,-22.679876098536003
,-22.683940116124887
,-22.68766952810977
,-22.691097656859558
,-22.69425955619063
,-22.697190542594956
,-22.699924186821015
,-22.702491078520982
,-22.70491767782936
,-22.707226082819464
,-22.709434006554527
,-22.71155519510708
,-22.71360007830844
,-22.715576329308185
,-22.717489499201214
,-22.71934353413589
,-22.72114121933636
,-22.722884450566305
,-22.72457447899886
,-22.72621219800519
,-22.72779815986949
,-22.729332710843828
,-22.73081612424279
,-22.732248630192245
,-22.733630452570846
,-22.73496189697494
,-22.736243321165936
,-22.73747526025507
,-22.738658406068698
,-22.739793645648717
,-22.740882064105474
,-22.74192495663806
,-22.742923841151928
,-22.74388042287324
,-22.74479661266737
,-22.74567442299152
,-22.746516030311316
,-22.74732363167888
,-22.748099465097315
,-22.74884574525147
,-22.749564605765634
,-22.750258046224914
,-22.750927934178193
,-22.75157594437561
,-22.75220356686797
,-22.75281206046482
,-22.753402463160008
,-22.753975673730167
,-22.754532345498635
,-22.755073033129626
,-22.75559812281673
,-22.756107929700637
,-22.756602689403255
,-22.75708261353005
,-22.75754790408267
,-22.757998784521373
,-22.758435513145766
,-22.75885838142814
,-22.75926775376378
,-22.759664041462297
,-22.76004770745463
,-22.76041926085222
,-22.760779245668527
,-22.761128213972498
,-22.76146676128281
,-22.761795443589307
,-22.762114833804
,-22.762425469971323
,-22.76272786281719
,-22.763022472554812
,-22.7633097404378
,-22.763590053651694
,-22.763863752496324
,-22.76413117042344
,-22.76439257966298
,-22.76464822204876
,-22.76489832946326
,-22.76514310733336
,-22.765382748105036
,-22.765617425319185
,-22.76584731783324
,-22.766072570222622
,-22.766293350931065
,-22.76650980104241
,-22.766722074011494
,-22.766930296107773
,-22.767134597833095
,-22.767335104679074
,-22.767531926087738
,-22.76772517506814
,-22.767914933759574
,-22.768101294505097
,-22.76828432821518
,-22.768464093363114
,-22.76864066065664
,-22.76881408008398
,-22.768984401984287
,-22.769151663017038
,-22.769315909817024
,-22.76947717523317
,-22.769635505007628
,-22.769790930458978
,-22.769943487221127
,-22.77009321207535
,-22.770240148387362
,-22.770384327937126
,-22.7705257836509
,-22.770664552300033
,-22.770800671902883
,-22.77093418431261
,-22.771065121120262
,-22.7711935139167
,-22.771319398615958
,-22.771442808601552
,-22.771563769643343
,-22.7716823192359
,-22.77179848149983
,-22.77191229994673
,-22.772023794980004
,-22.77213299589574
,-22.77223993619887
,-22.77234464438903
,-22.77244715522499
,-22.772547502602514
,-22.77264571422985
,-22.772741824191332
,-22.772835866652926
,-22.772927868582464
,-22.77301786472213
,-22.773105883343103
,-22.77319195644244
,-22.77327611777516
,-22.773358394105635
,-22.773438817734874
,-22.773517420199145
,-22.773594233623044
,-22.773669284427243
,-22.77374260329814
,-22.773814220126773
,-22.77388416519036
,-22.773952473663133
,-22.77401916495042
,-22.77408427733021
,-22.77414783446972
,-22.774209868550678
,-22.77427040714301
,-22.774329472997426
,-22.7743871011377
,-22.774443317895443
,-22.774498148395015
,-22.774551622333963
,-22.774603763856447
,-22.774654601566713
,-22.77470416285082
,-22.774752467166373
,-22.774799545327046
,-22.774845420009378
,-22.77489012123257
,-22.774933671405723
,-22.77497609141015
,-22.775017406192507
,-22.775057640483606
,-22.775096815892198
,-22.77513495880078
,-22.77517208880569
,-22.775208226303544
,-22.775243394328772
,-22.775277615295355
,-22.775310910687544
,-22.775343302268258
,-22.775374808587753
,-22.77540545347076
,-22.775435254347514
,-22.775464228798825
,-22.77549239901792
,-22.775519779379078
,-22.775546394269785
,-22.775572256856627
,-22.775597385922364
,-22.7756218022916
,-22.775645520794765
,-22.775668558536115
,-22.775690933231076
,-22.775712661494158
,-22.775733759227887
,-22.775754240562186
,-22.7757741206968
,-22.775793415709437
,-22.775812140172555
,-22.775830309480387
,-22.7758479377208
,-22.77586503949736
,-22.775881628161116
,-22.775897715773468
,-22.77591331533496
,-22.77592844032242
,-22.77594310523371
,-22.775957318896378
,-22.775971095283847
,-22.77598444485407
,-22.77599738125788
,-22.776009914152937
,-22.776022056193938
,-22.776033815253875
,-22.776045205578704
,-22.776056234140032
,-22.77606691303045
,-22.77607725063945
,-22.776087258657075
,-22.776096944787007
,-22.776106319842278
,-22.77611538989509
,-22.77612416721908
,-22.776132657529367
,-22.776140870480667
,-22.776148813166802
,-22.7761564951685
,-22.776163922807328
,-22.77617110247867
,-22.776178043072118
,-22.776184751997416
,-22.776191234974323
,-22.776197500591717
,-22.776203554044635
,-22.77620940215775
,-22.776215050065
,-22.776220506572272
,-22.7762257755021
,-22.776230862782747
,-22.776235774270233
,-22.776240516766652
,-22.77624509354424
,-22.776249511253365
,-22.7762537739658
,-22.77625788689207
,-22.776261854861094
,-22.776265682848983
,-22.77626937560916
,-22.776272936530237
,-22.776276369347883
,-22.77627967932101
,-22.776282869995086
,-22.77628594608976
,-22.776288909937442
,-22.77629176711989
,-22.776294519867506
,-22.776297172518806
,-22.776299727977566
,-22.776302188758937
,-22.776304559205787
,-22.776306841065423
,-22.77630903899999
,-22.776311154654923
,-22.776313191728157
,-22.776315151753302
,-22.776317038263986
,-22.77631885332193
,-22.776320600286393
,-22.776322280566028
,-22.776323896618702
,-22.776325450830686
,-22.77632694575311
,-22.776328383089236
,-22.776329764972683
,-22.776331093121993
,-22.776332369639796
,-22.776333596616794
,-22.776334775994375
,-22.776335909085024
,-22.776336997848183
,-22.7763380436951
,-22.776339047827726
,-22.776340012424996
