Phase I,Phase II,Random
-37.47617043664781,-40.65699757427258,-32.85735056943741
-39.30379704216199,-40.65699757427258,-32.85735056943741
-40.02309416063602,-40.8379586220194,-33.80486999563206
-40.335802311626544,-40.97921582244458,-34.60436542027698
-40.48630592528623,-41.09004146467921,-35.271027804572626
-40.56482945522495,-41.177772119211376,-35.82327379969623
-40.608261219662545,-41.24805118804357,-36.27941155903329
-40.6332729774744,-41.305133395107895,-36.65600676535517
-40.648075837258006,-41.35218209431722,-36.96729755837119
-40.65699757427258,-41.39153037361236,-37.225167723991945
,-41.424892809420015,-37.43937283033039
,-41.45353075831898,-37.61785090165241
,-41.47837646363086,-37.767034999702325
,-41.50012539180294,-37.89213404813502
,-41.51930256939447,-37.997369569762526
,-41.53631068769124,-38.08617109791185
,-41.55146360273965,-38.1613327171414
,-41.565011120802346,-38.2251387840495
,-41.577155449278465,-38.279463329284454
,-41.58806345266031,-38.32584977041363
,-41.59787536062421,-38.36557363365243
,-41.6067106257809,-38.39969286403822
,-41.614672470080684,-38.4290879306274
,-41.62185094378694,-38.454494034746695
,-41.62832532468381,-38.47652706022
,-41.63416583208641,-38.49570439639807
,-41.63943520137617,-38.512461960193946
,-41.64418947573183,-38.527168043671395
,-41.64847899247007,-38.5401346097964
,-41.6523490396828,-38.55162657445585
,-41.655840390359195,-38.56186943875243
,-41.658989826744154,-38.571055638906785
,-41.66183053603407,-38.57934978517045
,-41.664392582855406,-38.58689304620541
,-41.66670303360147,-38.593806689688584
,-41.66878637927401,-38.60019528702872
,-41.67066478268675,-38.60614919998394
,-41.67235821641468,-38.611746756864626
,-41.6738847712765,-38.61705609958529
,-41.67526077035433,-38.622136621072826
,-41.6765009414934,-38.62704050728244
,-41.677618614208185,-38.63181361284462
,-41.678625807228535,-38.63649654122077
,-41.67953338752731,-38.641125492591904
,-41.68035116025811,-38.64573292048723
,-41.68108796726219,-38.65034817470408
,-41.68175177728428,-38.6549979573264
,-41.682349805259264,-38.65970679898736
,-41.68288852527963,-38.66449768633272
,-41.68337381151348,-38.66939203624253
,-41.68381093893856,-38.67441021460395
,-41.68420467069631,-38.67957182588307
,-41.68455930796856,-38.684896111091874
,-41.68487872550648,-38.69040171284678
,-41.68516640767597,-38.69610735425356
,-41.68542550251789,-38.70203167912922
,-41.685658837293886,-38.70819381115733
,-41.68586897925017,-38.71461329503357
,-41.68605822269316,-38.72131009288849
,-41.686228642094655,-38.72830518482881
,-41.68638211382128,-38.73562029066209
,-41.6865203145438,-38.74327831857963
,-41.68664476218829,-38.7513033807138
,-41.68675682570414,-38.75972091711549
,-41.68685773461637,-38.768558054363666
,-41.68694860049477,-38.77784356897433
,-41.68703042166359,-38.7876082563193
,-41.68710409616933,-38.79788511142457
,-41.687170436285236,-38.80870914983266
,-41.68723016986911,-38.820118114100694
,-41.68728395470294,-38.8321521491266
,-41.68733238189566,-38.84485476846037
,-41.68737598646711,-38.85827228043661
,-41.68741524829709,-38.872454426735445
,-41.68745059770417,-38.8874545801635
,-41.68748242721048,-38.903329792441085
,-41.68751108557353,-38.92014145933753
,-41.68753688785638,-38.937954890306806
,-41.687560121360725,-38.95684020324132
,-41.687581038397845,-38.976871841984924
,-41.6875998711021,-38.99812923492491
,-41.6876168268012,-39.02069672166405
,-41.687632094489764,-39.0446631079648
,-41.687645840991124,-39.07012220328601
,-41.68765821706769,-39.09717225682866
,-41.68766935960167,-39.125915771666435
,-41.68767939202117,-39.15645892445806
,-41.687688424960314,-39.18891009605547
,-41.68769655753481,-39.22338016343769
,-41.687703879050794,-39.25997959665933
,-41.68771047044672,-39.29881787897591
,-41.68771640499326,-39.340000210593516
,-41.68772174848418,-39.383625488034845
,-41.68772655952975,-39.42978292875307
,-41.68773089115811,-39.478548513977735
,-41.68773479131579,-39.529979473811075
,-41.68773830292704,-39.584111530993304
,-41.687741464406066,-39.6409522664285
,-41.6877443104648,-39.70047671192659
,-41.68774687308771,-39.76262116934331
,-41.68774918013867,-39.82727914347389
,-41.68775125705959,-39.894296774972815
,-41.68775312704727,-39.96347123111926
,-41.687754810426135,-40.03454714864022
,-41.68775632600866,-40.10722015883033
,-41.68775769044441,-40.181137584318684
,-41.68775891891914,-40.25590555305178
,-41.6877600250487,-40.331097470646746
,-41.68776102063094,-40.406263572319375
,,-40.48094441520577
,,-40.55468331264373
,,-40.62704036048354
,,-40.69760519060881
,,-40.76600735262096
,,-40.83192600789398
,,-40.89509527784356
,,-40.95530753178325
,,-41.012413403114614
,,-41.06631979342737
,,-41.116985487882296
,,-41.16441541269079
,,-41.20865439475796
,,-41.24978054951394
,,-41.28789823735753
,,-41.32313185149728
,,-41.35562008907216
,,-41.385511190291346
,,-41.41295863844312
,,-41.43811748837005
,,-41.4611417404782
,,-41.482182391539126
,,-41.501385400934794
,,-41.51889080756486
,,-41.53483174219794
,,-41.54933418983726
,,-41.5625162797039
,,-41.57448884426309
,,-41.58535484997582
,,-41.595210091276165
,,-41.60414322420563
,,-41.61223594139802
,,-41.61956353106719
,,-41.626195277840175
,,-41.63219469887767
