LSTM-VQE,VQE after LSTM,VQE Random,VQE Zeros
-2.112583637237549,-2.070976972579956,-0.3673853278160095,-2.1264684200286865
-2.0974645614624023,-2.070976972579956,-0.3673853278160095,-2.1264684200286865
-2.091214418411255,-2.0859971046447754,-0.39928966760635376,-2.134289503097534
-2.0848870277404785,-2.0992565155029297,-0.43154585361480713,-2.141201972961426
-2.079540252685547,-2.1108765602111816,-0.46412399411201477,-2.1469974517822266
-2.0767910480499268,-2.121157169342041,-0.4969955086708069,-2.1524124145507812
-2.074418306350708,-2.1302545070648193,-0.530134916305542,-2.156560182571411
-2.0732955932617188,-2.138193368911743,-0.5635225176811218,-2.1600258350372314
-2.072326421737671,-2.144995927810669,-0.5971469879150391,-2.1629207134246826
-2.0718812942504883,-2.150738000869751,-0.6310040354728699,-2.1650991439819336
-2.071498155593872,-2.1555442810058594,-0.6650909185409546,-2.166656255722046
-2.0713250637054443,-2.159560441970825,-0.699398398399353,-2.1678855419158936
-2.071176290512085,-2.16292142868042,-0.7339066863059998,-2.1689581871032715
-2.0711100101470947,-2.165736675262451,-0.7685859799385071,-2.1698780059814453
-2.0710527896881104,-2.168092727661133,-0.8034002780914307,-2.170649290084839
-2.0710275173187256,-2.1700568199157715,-0.8383103609085083,-2.171355724334717
-2.0710055828094482,-2.171684741973877,-0.8732765913009644,-2.172093152999878
-2.0709962844848633,-2.1730270385742188,-0.9082604646682739,-2.1728668212890625
-2.0709879398345947,-2.1741302013397217,-0.943225622177124,-2.173616886138916
-2.070984363555908,-2.1750359535217285,-0.978138267993927,-2.1743032932281494
-2.070981025695801,-2.175779104232788,-1.0129668712615967,-2.1749374866485596
-2.0709798336029053,-2.176386594772339,-1.0476806163787842,-2.175542116165161
-2.0709786415100098,-2.176877737045288,-1.0822480916976929,-2.1761019229888916
-2.0709781646728516,-2.177266836166382,-1.1166354417800903,-2.1765809059143066
-2.0709776878356934,-2.177568197250366,-1.150805950164795,-2.176968812942505
-2.0709774494171143,-2.177795886993408,-1.184719443321228,-2.1772944927215576
-2.070977210998535,-2.177966833114624,-1.218334436416626,-2.1775901317596436
-2.070977210998535,-2.1780974864959717,-1.2516093254089355,-2.1778621673583984
-2.070977210998535,-2.17820405960083,-1.284505009651184,-2.1781039237976074
-2.070976972579956,-2.178300142288208,-1.3169852495193481,-2.1783220767974854
-2.070976972579956,-2.178395986557007,-1.3490177392959595,-2.1785387992858887
-2.070976972579956,-2.1784987449645996,-1.3805735111236572,-2.178767204284668
-2.070976972579956,-2.1786115169525146,-1.411625862121582,-2.1789987087249756
-2.070976972579956,-2.178734302520752,-1.4421498775482178,-2.17921781539917
-2.070976972579956,-2.1788649559020996,-1.4721218347549438,-2.1794207096099854
-2.070976972579956,-2.1790013313293457,-1.50151789188385,-2.179612636566162
-2.070976972579956,-2.179140329360962,-1.5303136110305786,-2.1797902584075928
-2.070976972579956,-2.1792798042297363,-1.5584839582443237,-2.179940938949585
-2.070976972579956,-2.1794164180755615,-1.5860025882720947,-2.1800568103790283
-2.070976972579956,-2.1795456409454346,-1.6128431558609009,-2.180143117904663
-2.070976972579956,-2.1796634197235107,-1.638979434967041,-2.1802074909210205
-2.070976972579956,-2.179765224456787,-1.6643879413604736,-2.180251359939575
-2.070976972579956,-2.1798486709594727,-1.689048409461975,-2.1802737712860107
-2.070976972579956,-2.179912567138672,-1.712945580482483,-2.1802799701690674
-2.070976972579956,-2.1799585819244385,-1.7360705137252808,-2.1802799701690674
-2.070976972579956,-2.1799890995025635,-1.7584210634231567,
-2.070976972579956,-2.1800076961517334,-1.7800012826919556,
-2.070976972579956,-2.1800177097320557,-1.8008208274841309,
-2.070976972579956,-2.1800222396850586,-1.8208932876586914,
-2.070976972579956,-2.180025339126587,-1.840234637260437,
-2.070976972579956,-2.180030345916748,-1.8588608503341675,
-2.070976972579956,-2.180039405822754,-1.8767871856689453,
-2.070976972579956,-2.180053949356079,-1.8940268754959106,
-2.070976972579956,-2.1800732612609863,-1.9105907678604126,
-2.070976972579956,-2.1800968647003174,-1.9264880418777466,
-2.070976972579956,-2.1801230907440186,-1.9417264461517334,
-2.070976972579956,-2.1801517009735107,-1.9563130140304565,
-2.070976972579956,-2.1801817417144775,-1.9702551364898682,
-2.070976972579956,-2.1802122592926025,-1.9835612773895264,
-2.070976972579956,-2.1802420616149902,-1.9962410926818848,
-2.070976972579956,-2.180269479751587,-2.008305311203003,
-2.070976972579956,-2.180293321609497,-2.019765853881836,
-2.070976972579956,-2.1803126335144043,-2.030635356903076,
-2.070976972579956,-2.1803274154663086,-2.040926933288574,
-2.070976972579956,-2.180337905883789,-2.0506536960601807,
-2.070976972579956,-2.180345058441162,-2.0598301887512207,
-2.070976972579956,-2.180349349975586,-2.068471670150757,
-2.070976972579956,-2.180351734161377,-2.076594352722168,
-2.070976972579956,-2.1803526878356934,-2.084216833114624,
-2.070976972579956,,-2.0913589000701904,
-2.070976972579956,,-2.0980417728424072,
-2.070976972579956,,-2.104287624359131,
-2.070976972579956,,-2.110118865966797,
-2.070976972579956,,-2.11555814743042,
-2.070976972579956,,-2.120626926422119,
-2.070976972579956,,-2.1253461837768555,
-2.070976972579956,,-2.129735231399536,
-2.070976972579956,,-2.13381290435791,
-2.070976972579956,,-2.137596607208252,
-2.070976972579956,,-2.141103506088257,
-2.070976972579956,,-2.144350051879883,
-2.070976972579956,,-2.1473517417907715,
-2.070976972579956,,-2.1501245498657227,
-2.070976972579956,,-2.1526830196380615,
-2.070976972579956,,-2.1550421714782715,
-2.070976972579956,,-2.1572155952453613,
-2.070976972579956,,-2.1592164039611816,
-2.070976972579956,,-2.1610569953918457,
-2.070976972579956,,-2.1627485752105713,
-2.070976972579956,,-2.164302110671997,
-2.070976972579956,,-2.1657276153564453,
-2.070976972579956,,-2.1670339107513428,
-2.070976972579956,,-2.1682300567626953,
-2.070976972579956,,-2.1693241596221924,
-2.070976972579956,,-2.1703238487243652,
-2.070976972579956,,-2.171236276626587,
-2.070976972579956,,-2.1720690727233887,
-2.070976972579956,,-2.172828197479248,
-2.070976972579956,,-2.17352032661438,
-2.070976972579956,,-2.1741509437561035,
,,-2.1747255325317383,
,,-2.1752490997314453,
,,-2.1757259368896484,
,,-2.1761603355407715,
,,-2.176555871963501,
,,-2.1769161224365234,
,,-2.177243947982788,
,,-2.1775426864624023,
,,-2.177814483642578,
,,-2.1780619621276855,
,,-2.1782872676849365,
,,-2.178492546081543,
,,-2.1786792278289795,
,,-2.178849220275879,
,,-2.1790034770965576,
,,-2.1791439056396484,
,,-2.1792714595794678,
,,-2.179386854171753,
,,-2.1794917583465576,
,,-2.17958664894104,
,,-2.1796724796295166,
,,-2.1797499656677246,
,,-2.1798198223114014,
,,-2.179882764816284,
,,-2.1799392700195312,
,,-2.179989814758301,
,,-2.180035352706909,
,,-2.1800758838653564,
,,-2.18011212348938,
,,-2.1801443099975586,
,,-2.18017315864563,
,,-2.1801986694335938,
,,-2.1802213191986084,
,,-2.180241346359253,
,,-2.1802589893341064,
,,-2.180274486541748,
,,-2.180288314819336,
,,-2.180300235748291,
,,-2.1803107261657715,
,,-2.1803200244903564,
,,-2.180328130722046,
,,-2.18033504486084,
,,-2.1803410053253174,
,,-2.1803462505340576,
,,-2.1803507804870605,
,,-2.1803548336029053,
,,-2.1803581714630127,
,,-2.180361032485962,
,,-2.180363416671753,
,,-2.180365562438965,
,,-2.1803672313690186,
,,-2.1803689002990723,
,,-2.1803700923919678,
,,-2.1803712844848633,
,,-2.1803722381591797,
