LSTM-VQE,VQE after LSTM,VQE Random,VQE Zeros
-2.1169793605804443,-2.116969347000122,-0.5058445930480957,-2.1264684200286865
-2.1238861083984375,-2.116969347000122,-0.5058445930480957,-2.1264684200286865
-2.1177825927734375,-2.1277780532836914,-0.5386800765991211,-2.134289503097534
-2.1184582710266113,-2.1366868019104004,-0.571547269821167,-2.141201972961426
-2.117373466491699,-2.144070625305176,-0.6043916344642639,-2.1469974517822266
-2.1172103881835938,-2.150298595428467,-0.637164294719696,-2.1524124145507812
-2.117084503173828,-2.1555488109588623,-0.669828474521637,-2.156560182571411
-2.1170175075531006,-2.159884214401245,-0.702369749546051,-2.1600258350372314
-2.116994857788086,-2.163372755050659,-0.7348050475120544,-2.1629207134246826
-2.11698055267334,-2.1661276817321777,-0.7671793103218079,-2.1650991439819336
-2.1169748306274414,-2.1682751178741455,-0.7995438575744629,-2.166656255722046
-2.116971969604492,-2.16994047164917,-0.8319361805915833,-2.1678855419158936
-2.1169705390930176,-2.1712422370910645,-0.8643759489059448,-2.1689581871032715
-2.1169700622558594,-2.1722872257232666,-0.8968700766563416,-2.1698780059814453
-2.116969585418701,-2.173166513442993,-0.929417073726654,-2.170649290084839
-2.116969585418701,-2.1739494800567627,-0.9620093703269958,-2.171355724334717
-2.116969347000122,-2.174675464630127,-0.9946337938308716,-2.172093152999878
-2.116969347000122,-2.175358533859253,-1.0272736549377441,-2.1728668212890625
-2.116969347000122,-2.175997734069824,-1.0599101781845093,-2.173616886138916
-2.116969347000122,-2.1765880584716797,-1.0925248861312866,-2.1743032932281494
-2.116969347000122,-2.1771247386932373,-1.1251012086868286,-2.1749374866485596
-2.116969347000122,-2.1776018142700195,-1.157623052597046,-2.175542116165161
-2.116969347000122,-2.1780126094818115,-1.1900728940963745,-2.1761019229888916
-2.116969347000122,-2.1783525943756104,-1.2224303483963013,-2.1765809059143066
-2.116969347000122,-2.178622007369995,-1.254671335220337,-2.176968812942505
-2.116969347000122,-2.1788265705108643,-1.2867679595947266,-2.1772944927215576
-2.116969347000122,-2.17897629737854,-1.3186886310577393,-2.1775901317596436
-2.116969347000122,-2.179084300994873,-1.3503974676132202,-2.1778621673583984
-2.116969347000122,-2.1791634559631348,-1.3818542957305908,-2.1781039237976074
-2.116969347000122,-2.1792266368865967,-1.41301429271698,-2.1783220767974854
-2.116969347000122,-2.179286003112793,-1.4438287019729614,-2.1785387992858887
-2.116969347000122,-2.179349184036255,-1.474245548248291,-2.178767204284668
-2.116969347000122,-2.179419755935669,-1.5042117834091187,-2.1789987087249756
-2.116969347000122,-2.1794960498809814,-1.5336735248565674,-2.17921781539917
-2.116969347000122,-2.179574728012085,-1.5625779628753662,-2.1794207096099854
-2.116969347000122,-2.1796529293060303,-1.590873122215271,-2.179612636566162
-2.116969347000122,-2.17972993850708,-1.6185091733932495,-2.1797902584075928
-2.116969347000122,-2.1798055171966553,-1.6454389095306396,-2.179940938949585
-2.116969347000122,-2.1798791885375977,-1.6716185808181763,-2.1800568103790283
-2.116969347000122,-2.1799476146698,-1.6970100402832031,-2.180143117904663
-2.116969347000122,-2.1800079345703125,-1.7215813398361206,-2.1802074909210205
-2.116969347000122,-2.1800575256347656,-1.7453073263168335,-2.180251359939575
-2.116969347000122,-2.1800971031188965,-1.76816987991333,-2.1802737712860107
-2.116969347000122,-2.1801280975341797,-1.7901573181152344,-2.1802799701690674
-2.116969347000122,-2.1801528930664062,-1.8112627267837524,-2.1802799701690674
-2.116969347000122,-2.180172920227051,-1.8314845561981201,
-2.116969347000122,-2.180189609527588,-1.8508251905441284,
-2.116969347000122,-2.180203676223755,-1.869292140007019,
-2.116969347000122,-2.180215358734131,-1.8868982791900635,
-2.116969347000122,-2.180224657058716,-1.9036619663238525,
-2.116969347000122,-2.180232286453247,-1.9196064472198486,
-2.116969347000122,-2.1802384853363037,-1.9347593784332275,
-2.116969347000122,-2.180243492126465,-1.9491512775421143,
-2.116969347000122,-2.1802475452423096,-1.962814211845398,
-2.116969347000122,-2.1802515983581543,-1.9757810831069946,
-2.116969347000122,-2.1802566051483154,-1.9880852699279785,
-2.116969347000122,-2.180262565612793,-1.9997597932815552,
-2.116969347000122,-2.180269718170166,-2.0108370780944824,
-2.116969347000122,-2.1802778244018555,-2.021348237991333,
-2.116969347000122,-2.1802868843078613,-2.031322956085205,
-2.116969347000122,-2.1802966594696045,-2.040787696838379,
-2.116969347000122,-2.180307149887085,-2.049766778945923,
-2.116969347000122,-2.1803171634674072,-2.058281421661377,
-2.116969347000122,-2.180326223373413,-2.0663509368896484,
-2.116969347000122,-2.1803338527679443,-2.073993682861328,
-2.116969347000122,-2.18034029006958,-2.0812268257141113,
-2.116969347000122,-2.1803460121154785,-2.088066577911377,
-2.116969347000122,-2.1803512573242188,-2.094529151916504,
-2.116969347000122,-2.180356025695801,-2.100628614425659,
-2.116969347000122,-2.1803603172302246,-2.1063790321350098,
-2.116969347000122,-2.180363655090332,-2.111793279647827,
-2.116969347000122,-2.1803665161132812,-2.1168837547302246,
-2.116969347000122,-2.180368423461914,-2.1216630935668945,
-2.116969347000122,-2.1803700923919678,-2.126143217086792,
-2.116969347000122,-2.1803715229034424,-2.1303372383117676,
-2.116969347000122,-2.1803722381591797,-2.1342575550079346,
-2.116969347000122,,-2.1379170417785645,
-2.116969347000122,,-2.141328811645508,
-2.116969347000122,,-2.144505500793457,
-2.116969347000122,,-2.1474602222442627,
-2.116969347000122,,-2.150205612182617,
-2.116969347000122,,-2.1527533531188965,
-2.116969347000122,,-2.1551148891448975,
-2.116969347000122,,-2.157301187515259,
-2.116969347000122,,-2.1593222618103027,
-2.116969347000122,,-2.1611883640289307,
-2.116969347000122,,-2.1629087924957275,
-2.116969347000122,,-2.1644928455352783,
-2.116969347000122,,-2.1659491062164307,
-2.116969347000122,,-2.1672863960266113,
-2.116969347000122,,-2.1685123443603516,
-2.116969347000122,,-2.169635057449341,
-2.116969347000122,,-2.170661687850952,
-2.116969347000122,,-2.1715993881225586,
-2.116969347000122,,-2.172454595565796,
-2.116969347000122,,-2.1732337474823,
-2.116969347000122,,-2.173943042755127,
-2.116969347000122,,-2.1745874881744385,
-2.116969347000122,,-2.1751725673675537,
-2.116969347000122,,-2.1757030487060547,
,,-2.1761837005615234,
,,-2.176618814468384,
,,-2.1770122051239014,
,,-2.1773672103881836,
,,-2.177687168121338,
,,-2.1779754161834717,
,,-2.178234577178955,
,,-2.178467035293579,
,,-2.178675413131714,
,,-2.1788620948791504,
,,-2.1790287494659424,
,,-2.179177761077881,
,,-2.1793105602264404,
,,-2.179428815841675,
,,-2.1795341968536377,
,,-2.1796278953552246,
,,-2.179710865020752,
,,-2.1797847747802734,
