LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-13.006487487558463,-14.28385712758379,-12.771868521773968,-15.6193377742007,-15.336119249653336,-15.684815286422465,-12.852484988173298,-12.585317617930897,-12.670507849308958,-12.007759555418273
-13.569626479922187,-14.28385712758379,-14.140383939973821,-15.6193377742007,-15.555024693987418,-15.684815286422465,-12.339814639113996,-12.585317617930897,-12.670507849308958,-12.007759555418273
-14.30125921016771,-14.373162881826621,-14.900214361402355,-15.647993860562744,-15.632360629832444,-15.711408321144408,-9.90163178950223,-12.593486620774783,-12.723802129971382,-12.155380723969564
-14.252680201360043,-14.457951150404662,-15.245197691319568,-15.673770180121998,-15.663266402390313,-15.734949003874192,-9.965149294124393,-12.60213601018503,-12.776139949441268,-12.301572701273017
-14.288904738050295,-14.538375496645614,-15.413372866725922,-15.696941295292445,-15.67610241545809,-15.755772171651111,-10.464122162577087,-12.611318337661617,-12.827584219158318,-12.446057333971615
-14.281831358554456,-14.614597766190686,-15.503294825998388,-15.717760566341433,-15.681452784262126,-15.774179883279377,-8.274335531595796,-12.62108734594969,-12.87819402730032,-12.58856951741984
-14.28436139971992,-14.686785431632295,-15.555086623960253,-15.736460784359087,-15.683628519884282,-15.790444154584497,-12.534865143770453,-12.631498132097033,-12.928027190892259,-12.728856714119942
-14.283713535339317,-14.755108692973177,-15.58657217684657,-15.753254821879253,-15.684463316050367,-15.804808913369017,-11.921730995454965,-12.642607337104971,-12.97713751674731,-12.866678773809035
-14.283912044390592,-14.819738910964114,-15.606451843021073,-15.76833652132716,-15.684746491909339,-15.81749234903677,-9.47083210756413,-12.654473296023077,-13.025575799431042,-13.001807926908342
-14.28385712758379,-14.880846433557812,-15.6193377742007,-15.781882055845019,-15.684815286422465,-15.828689042656581,-12.585317617930897,-12.667156079428114,-13.073390373338079,-13.134029213347366
,-14.938599423827918,,-15.794050784086245,,-15.83857224032898,,-12.680717709264993,-13.12062582203386,-13.26314120358577
,-14.993162832348707,,-15.804986670237115,,-15.847295995932864,,-12.695222111617394,-13.167323438259299,-13.388956933041783
,-15.044697428787263,,-15.814819435321736,,-15.854996797593653,,-12.710734969647254,-13.213521904472017,-13.511305461690144
,-15.093358728510538,,-15.82366558807687,,-15.86179567609485,,-12.727323874348093,-13.259255596703172,-13.630033142340205
,-15.139297236070307,,-15.831629801540025,,-15.867799706665581,,-12.745058089540082,-13.304556802245704,-13.7450051505594
,-15.182657412285032,,-15.838805777799601,,-15.873103418039577,,-12.764008257241247,-13.349453890620836,-13.856107008271431
,-15.223578098849913,,-15.845277346385977,,-15.877790291646448,,-12.784246181923095,-13.393972618619543,-13.963245578606248
,-15.262191981718159,,-15.851119410871952,,-15.881933985522645,,-12.805844628975054,-13.438135210569698,-14.066350016226297
,-15.298625690330487,,-15.856398932406025,,-15.885599472722896,,-12.828876492625207,-13.481961812375431,-14.165372553409057
