LSTM-VQE,VQE after LSTM,VQE Random,VQE Zeros
-2.1047773361206055,-2.1183807849884033,-0.655152440071106,-2.1264684200286865
-2.121234178543091,-2.1183807849884033,-0.655152440071106,-2.1264684200286865
-2.1196343898773193,-2.128434896469116,-0.6814003586769104,-2.134289503097534
-2.119121551513672,-2.13688325881958,-0.7072163820266724,-2.141201972961426
-2.1187968254089355,-2.1439483165740967,-0.7325990200042725,-2.1469974517822266
-2.11860728263855,-2.1498730182647705,-0.7575366497039795,-2.1524124145507812
-2.1185011863708496,-2.154801607131958,-0.7820117473602295,-2.156560182571411
-2.1184451580047607,-2.1588728427886963,-0.8060173988342285,-2.1600258350372314
-2.1184146404266357,-2.1622304916381836,-0.8295811414718628,-2.1629207134246826
-2.118398904800415,-2.1649863719940186,-0.8527690172195435,-2.1650991439819336
-2.1183903217315674,-2.1672275066375732,-0.8756703734397888,-2.166656255722046
-2.1183860301971436,-2.1690421104431152,-0.8983762860298157,-2.1678855419158936
-2.1183836460113525,-2.170513153076172,-0.9209699630737305,-2.1689581871032715
-2.118382453918457,-2.1717026233673096,-0.9435274600982666,-2.1698780059814453
-2.1183817386627197,-2.1726603507995605,-0.9661173224449158,-2.170649290084839
-2.1183812618255615,-2.1734347343444824,-0.9887986779212952,-2.171355724334717
-2.1183810234069824,-2.174072742462158,-1.0116190910339355,-2.172093152999878
-2.1183810234069824,-2.174614191055298,-1.0346157550811768,-2.1728668212890625
-2.1183810234069824,-2.175091505050659,-1.0578186511993408,-2.173616886138916
-2.1183810234069824,-2.175532102584839,-1.0812524557113647,-2.1743032932281494
-2.1183807849884033,-2.1759583950042725,-1.1049391031265259,-2.1749374866485596
-2.1183807849884033,-2.1763815879821777,-1.1288975477218628,-2.175542116165161
-2.1183807849884033,-2.1767985820770264,-1.1531444787979126,-2.1761019229888916
-2.1183807849884033,-2.1771962642669678,-1.1776925325393677,-2.1765809059143066
-2.1183807849884033,-2.177560567855835,-1.2025502920150757,-2.176968812942505
-2.1183807849884033,-2.1778860092163086,-1.227721095085144,-2.1772944927215576
-2.1183807849884033,-2.1781747341156006,-1.2532024383544922,-2.1775901317596436
-2.1183807849884033,-2.178433418273926,-1.2789862155914307,-2.1778621673583984
-2.1183807849884033,-2.1786675453186035,-1.305058479309082,-2.1781039237976074
-2.1183807849884033,-2.1788792610168457,-1.3314000368118286,-2.1783220767974854
-2.1183807849884033,-2.1790671348571777,-1.357987642288208,-2.1785387992858887
